date;second
2017/12/11;6.156
2017/12/15;6.202
2017/12/20;6.23
2017/12/22;6.339
2018/01/15;7.242
2018/01/18;6.339
2018/01/20;6.354
2018/01/23;5.958
2018/01/24;5.781
2018/02/01;7.316
2018/02/02;6.183
2018/02/03-17:33;6.152
2018/02/04-17:21;5.594
2018/02/16-09:00;2.234
2018/02/18-09:55;1.805
2018/02/19-10:02;1.776
