date;second
2017/12/11;4.403
2017/12/15;4.456
2017/12/20;4.352
2017/12/22;4.46
2018/01/15;5.758
2018/01/18;4.374
2018/01/20;4.87
2018/01/23;4.349
2018/01/24;5.781
2018/02/01;5.231
2018/02/02;5.731
2018/02/03-17:33;3.256
2018/02/04-17:21;3.731
2018/02/04-17:31;3.2312018/02/19-09:53;3.584
2018/02/18-09:55;3.81
2018/02/19-10:02;3.574
